id_product,product_name,category,price,stock
1,"Pork - Tenderloin, Fresh",bazaar,$819.97,204
2,Pork - Belly Fresh,cosmetic,$193.12,729
3,Wine - Fume Blanc Fetzer,pets,$115.22,698
4,Mousse - Banana Chocolate,food,$554.27,959
5,Cod - Black Whole Fillet,bazaar,$316.51,710
6,Cream - 18%,food,$757.98,173
7,"Wine - Red, Cabernet Merlot",cosmetic,$680.65,944
8,"Juice - V8, Tomato",fishing,$344.43,171
9,Rice - Basmati,fishing,$135.22,12
10,Remy Red,food,$178.57,829
11,"Halibut - Whole, Fresh",food,$478.89,272
12,Grapes - Red,toys,$956.91,152
13,Mousse - Passion Fruit,fishing,$549.16,90
14,Soup Bowl Clear 8oz92008,pets,$356.03,791
15,Icecream Cone - Areo Chocolate,fishing,$499.83,496
16,Jerusalem Artichoke,fishing,$452.68,288
17,Fish - Bones,bazaar,$843.64,625
18,Wine - Sauvignon Blanc,fishing,$249.10,689
19,Mints - Striped Red,food,$428.72,62
20,Oil - Olive Bertolli,cosmetic,$346.48,520
21,"Mushroom - Shitake, Fresh",cleaning,$47.98,520
22,Sea Bass - Fillets,food,$57.00,404
23,Quail - Jumbo Boneless,fishing,$64.58,384
24,Salt - Celery,cleaning,$224.41,753
25,Containter - 3oz Microwave Rect.,cosmetic,$866.61,295
26,Quail - Jumbo,bazaar,$27.12,171
27,Trueblue - Blueberry,food,$411.91,87
28,"Apple - Delicious, Red",toys,$296.28,997
29,"Chilli Paste, Ginger Garlic",pets,$970.62,233
30,Longan,cleaning,$759.28,540
31,Eggplant Oriental,fishing,$790.28,542
32,Ecolab - Hobart Washarm End Cap,cleaning,$440.94,70
33,Bread - Dark Rye,bazaar,$511.11,479
34,Trueblue - Blueberry 12x473ml,food,$957.77,232
35,"Mustard - Dry, Powder",food,$490.86,608
36,Cheese - Brie Roitelet,bazaar,$412.50,706
37,Chocolate Liqueur - Godet White,pets,$320.41,711
38,Ice Cream - Vanilla,food,$488.21,63
39,"Lamb - Whole, Frozen",pets,$405.06,941
40,Table Cloth 72x144 White,food,$536.81,418
41,Whmis - Spray Bottle Trigger,cosmetic,$278.79,505
42,Raspberries - Frozen,fishing,$502.12,536
43,Jameson - Irish Whiskey,cosmetic,$744.01,534
44,Wine - Touraine Azay - Le - Rideau,pets,$889.70,153
